Coil:Cooling:Water,Design Size U-Factor Times Area Value,nil
Coil:Cooling:Water,Design Water Flow Rate,3
Coil:Cooling:Water,Design Size Design Water Flow Rate,3
Coil:Cooling:Water,Design Air Flow Rate,4
Coil:Cooling:Water,Design Size Design Air Flow Rate,4
Coil:Cooling:Water,User-Specified Design Air Flow Rate,4
Coil:Cooling:Water,Design Inlet Water Temperature,5
Coil:Cooling:Water,Design Size Design Inlet Water Temperature,5
Coil:Cooling:Water,Design Inlet Air Temperature,6
Coil:Cooling:Water,Design Size Design Inlet Air Temperature,6
Coil:Cooling:Water,Design Outlet Air Temperature,7
Coil:Cooling:Water,Design Size Design Outlet Air Temperature,7
Coil:Cooling:Water,Design Inlet Air Humidity Ratio,8
Coil:Cooling:Water,Design Size Design Inlet Air Humidity Ratio,8
Coil:Cooling:Water,Design Outlet Air Humidity Ratio,9
Coil:Cooling:Water,Design Size Design Outlet Air Humidity Ratio,9
Coil:Cooling:Water:DetailedGeometry,Coil Depth,8
Coil:Cooling:Water:DetailedGeometry,Fin Diameter,9
Coil:Cooling:Water:DetailedGeometry,Fin Surface Area,6
Coil:Cooling:Water:DetailedGeometry,Maximum Water Flow Rate,3
Coil:Cooling:Water:DetailedGeometry,Minimum Airflow Area,7
Coil:Cooling:Water:DetailedGeometry,Number of Tubes per Row,18
Coil:Cooling:Water:DetailedGeometry,Total Tube Inside Area,5
Coil:Cooling:Water:DetailedGeometry,Tube Outside Surface Area,4
Coil:Cooling:WaterToAirHeatPump:EquationFit,Gross Rated Sensible Cooling Capacity,9
Coil:Cooling:WaterToAirHeatPump:EquationFit,Gross Rated Total Cooling Capacity,8
Coil:Cooling:WaterToAirHeatPump:EquationFit,Rated Air Flow Rate,6
Coil:Cooling:WaterToAirHeatPump:EquationFit,Rated Water Flow Rate,7
Coil:Cooling:WaterToAirHeatPump:VariableSpeedEquationFit,Gross Rated Total Cooling Capacity At Selected Nominal Speed Level,8
Coil:Cooling:WaterToAirHeatPump:VariableSpeedEquationFit,Rated Air Flow Rate At Selected Nominal Speed Level,9
Coil:Cooling:WaterToAirHeatPump:VariableSpeedEquationFit,Rated Water Flow Rate At Selected Nominal Speed Level,10
Coil:Heating:DX:MultiSpeed,Resistive Defrost Heater Capacity,14
Coil:Heating:DX:MultiSpeed,Speed 1 Gross Rated Heating Capacity,19
Coil:Heating:DX:MultiSpeed,Speed 1 Rated Air Flow Rate,21
Coil:Heating:DX:MultiSpeed,Speed 1 Secondary Coil Air Flow Rate,64
Coil:Heating:DX:MultiSpeed,Speed 2 Gross Rated Heating Capacity,30
Coil:Heating:DX:MultiSpeed,Speed 2 Rated Air Flow Rate,32
Coil:Heating:DX:MultiSpeed,Speed 2 Secondary Coil Air Flow Rate,69
Coil:Heating:DX:MultiSpeed,Speed 3 Gross Rated Heating Capacity,41
Coil:Heating:DX:MultiSpeed,Speed 3 Rated Air Flow Rate,43
Coil:Heating:DX:MultiSpeed,Speed 3 Secondary Coil Air Flow Rate,74
Coil:Heating:DX:MultiSpeed,Speed 4 Gross Rated Heating Capacity,52
Coil:Heating:DX:MultiSpeed,Speed 4 Rated Air Flow Rate,54
Coil:Heating:DX:MultiSpeed,Speed 4 Secondary Coil Air Flow Rate,79
